pixel_index,color,log_p_z,log_p_z_ref,joint_score,joint_score_ref
324,0.215774371779518,-2.2974257310252706,-2.2974257310252706,[0. 0. 0.],[0. 0. 0.]
326,0.05800617917085515,-3.9944870925212386,-3.9944870925212386,[0. 0. 0.],[0. 0. 0.]
1090,0.02558226556387932,-4.675502147245082,-6.4926429152816425,[ 4.97079082e-01 -3.25948140e-09 -3.70126311e-09],[ 4.97079082e-01 -3.25948140e-09 -3.70126311e-09]
335,0.21572087676975682,-1.827014265744954,-1.827014265744954,[0. 0. 0.],[0. 0. 0.]
337,0.22193707085755557,-1.7992358456087096,-1.7992358456087096,[0. 0. 0.],[0. 0. 0.]
1144,0.02961434853779329,-5.059878868999769,-6.764666169983066,[ 4.76955698e-01 -3.28509368e-09  0.00000000e+00],[ 4.76955698e-01 -3.28509368e-09  0.00000000e+00]
339,0.027007289699740485,-3.059440852281946,-3.059440852281946,[0. 0. 0.],[0. 0. 0.]
340,0.0,-4.354815715232952,1.0,[0. 0. 0.],[0. 0. 0.]
344,0.17434371626731518,-1.7244845821617947,-1.7244845821617947,[0. 0. 0.],[0. 0. 0.]
345,0.0,-3.8112059259837983,1.0,[0. 0. 0.],[0. 0. 0.]
347,0.0,-4.1926957883975575,1.0,[0. 0. 0.],[0. 0. 0.]
350,0.046774479542532874,-3.7508327586330927,-3.7508327586330927,[0. 0. 0.],[0. 0. 0.]
352,0.0,-1.8427878124917918,1.0,[0. 0. 0.],[0. 0. 0.]
353,0.0,-1.7080799463268244,1.0,[0. 0. 0.],[0. 0. 0.]
355,0.2800136853015526,-1.9662004914571325,-1.9662004914571325,[0. 0. 0.],[0. 0. 0.]
356,0.25157018391121483,-2.0522875889464136,-2.0522875889464136,[0. 0. 0.],[0. 0. 0.]
357,0.0,-1.7785161825633449,1.0,[0. 0. 0.],[0. 0. 0.]
359,0.052318639679859974,-3.6119035380439177,-3.6119035380439177,[0. 0. 0.],[0. 0. 0.]
360,0.0,-1.817182719865825,1.0,[0. 0. 0.],[0. 0. 0.]
362,0.0,-3.9933103227206015,1.0,[0. 0. 0.],[0. 0. 0.]
370,0.0,-1.8649574037121694,1.0,[0. 0. 0.],[0. 0. 0.]
375,0.20743143655294868,-2.163176200958677,-2.163176200958677,[0. 0. 0.],[0. 0. 0.]
263,0.09461202854503509,-4.646345491948145,-5.168101993225186,[-2.02681317e-09 -3.00410285e-09 -2.67815366e-09],[-2.02681317e-09 -3.00410285e-09 -2.67815366e-09]
384,0.21914092334050678,-1.8173529777430868,-1.8173529777430868,[0. 0. 0.],[0. 0. 0.]
385,0.05980940135054916,-4.077580905787345,-4.077580905787345,[0. 0. 0.],[0. 0. 0.]
